id,title_ru,title_original,year,rating_kp,rating_imdb,poster_url,description,film_length,countries,genres,actors,directors,budget,premiere_world,age_rating,link
535341,1+1,Intouchables,2011,8.8,8.5,https://kinopoiskapiunofficial.tech/images/posters/kp/535341.jpg,"Пострадав в результате несчастного случая, богатый аристократ Филипп нанимает в помощники человека, который менее всего подходит для этой работы, – молодого жителя предместья Дрисса, только что освободившегося из тюрьмы. Несмотря на то, что Филипп прикован к инвалидному креслу, Дриссу удается привнести в размеренную жизнь аристократа дух приключений.",112 мин,Франция,"драма, комедия","Франсуа Клюзе, Омар Си, Анн Ле Ни, Одри Флёро, Жозефин де Мо","Оливье Накаш, Эрик Толедано",,,18+,https://www.kinopoisk.ru/film/535341/
258687,Интерстеллар,Interstellar,2014,8.7,8.7,https://kinopoiskapiunofficial.tech/images/posters/kp/258687.jpg,"Когда засуха, пыльные бури и вымирание растений приводят человечество к продовольственному кризису, коллектив исследователей и учёных отправляется сквозь червоточину (которая предположительно соединяет области пространства-времени через большое расстояние) в путешествие, чтобы превзойти прежние ограничения для космических путешествий человека и найти планету с подходящими для человечества условиями.",169 мин,"США, Великобритания, Канада","драма, фантастика, приключения","Мэттью Макконахи, Энн Хэтэуэй, Джессика Честейн, Маккензи Фой, Майкл Кейн",Кристофер Нолан,,,18+,https://www.kinopoisk.ru/film/258687/
326,Побег из Шоушенка,The Shawshank Redemption,1994,9.1,9.3,https://kinopoiskapiunofficial.tech/images/posters/kp/326.jpg,"Бухгалтер Энди Дюфрейн обвинён в убийстве собственной жены и её любовника. Оказавшись в тюрьме под названием Шоушенк, он сталкивается с жестокостью и беззаконием, царящими по обе стороны решётки. Каждый, кто попадает в эти стены, становится их рабом до конца жизни. Но Энди, обладающий живым умом и доброй душой, находит подход как к заключённым, так и к охранникам, добиваясь их особого к себе расположения.",142 мин,США,драма,"Тим Роббинс, Морган Фриман, Боб Гантон, Уильям Сэдлер, Клэнси Браун",Фрэнк Дарабонт,,,18+,https://www.kinopoisk.ru/film/326/
397667,Остров проклятых,Shutter Island,2009,8.5,8.2,https://kinopoiskapiunofficial.tech/images/posters/kp/397667.jpg,"Два американских судебных пристава отправляются на один из островов в штате Массачусетс, чтобы расследовать исчезновение пациентки клиники для умалишенных преступников. При проведении расследования им придется столкнуться с паутиной лжи, обрушившимся ураганом и смертельным бунтом обитателей клиники.",138 мин,США,"триллер, драма, детектив","Леонардо ДиКаприо, Марк Руффало, Бен Кингсли, Макс фон Сюдов, Мишель Уильямс",Мартин Скорсезе,,,18+,https://www.kinopoisk.ru/film/397667/
1143242,Джентльмены,The Gentlemen,2019,8.6,7.8,https://kinopoiskapiunofficial.tech/images/posters/kp/1143242.jpg,"Один ушлый американец ещё со студенческих лет приторговывал наркотиками, а теперь придумал схему нелегального обогащения с использованием поместий обедневшей английской аристократии и очень неплохо на этом разбогател. Другой пронырливый журналист приходит к Рэю, правой руке американца, и предлагает тому купить киносценарий, в котором подробно описаны преступления его босса при участии других представителей лондонского криминального мира — партнёра-еврея, китайской диаспоры, чернокожих спортсменов и даже русского олигарха.",113 мин,"США, Великобритания","криминал, боевик, комедия","Мэттью Макконахи, Чарли Ханнэм, Генри Голдинг, Хью Грант, Мишель Докери",Гай Ричи,,,18+,https://www.kinopoisk.ru/film/1143242/
435,Зеленая миля,The Green Mile,1999,9.1,8.6,https://kinopoiskapiunofficial.tech/images/posters/kp/435.jpg,"Пол Эджкомб — начальник блока смертников в тюрьме «Холодная гора», каждый из узников которого однажды проходит «зеленую милю» по пути к месту казни. Пол повидал много заключённых и надзирателей за время работы. Однако гигант Джон Коффи, обвинённый в страшном преступлении, стал одним из самых необычных обитателей блока.",189 мин,США,"драма, криминал, фэнтези","Том Хэнкс, Дэвид Морс, Бонни Хант, Майкл Кларк Дункан, Джеймс Кромуэлл",Фрэнк Дарабонт,,,18+,https://www.kinopoisk.ru/film/435/
3498,Властелин колец: Возвращение короля,The Lord of the Rings: The Return of the King,2003,8.7,9.0,https://kinopoiskapiunofficial.tech/images/posters/kp/3498.jpg,"Повелитель сил тьмы Саурон направляет свою бесчисленную армию под стены Минас-Тирита, крепости Последней Надежды. Он предвкушает близкую победу, но именно это мешает ему заметить две крохотные фигурки — хоббитов, приближающихся к Роковой Горе, где им предстоит уничтожить Кольцо Всевластья.",201 мин,"США, Новая Зеландия","драма, приключения, боевик, фэнтези","Элайджа Вуд, Вигго Мортенсен, Шон Эстин, Иэн Маккеллен, Орландо Блум",Питер Джексон,,,12+,https://www.kinopoisk.ru/film/3498/
448,Форрест Гамп,Forrest Gump,1994,8.9,8.8,https://kinopoiskapiunofficial.tech/images/posters/kp/448.jpg,"Сидя на автобусной остановке, Форрест Гамп — не очень умный, но добрый и открытый парень — рассказывает случайным встречным историю своей необыкновенной жизни.

С самого малолетства парень страдал от заболевания ног, соседские мальчишки дразнили его, но в один прекрасный день Форрест открыл в себе невероятные способности к бегу. Подруга детства Дженни всегда его поддерживала и защищала, но вскоре дороги их разошлись.",142 мин,США,"драма, мелодрама, комедия, военный, история","Том Хэнкс, Робин Райт, Салли Филд, Гэри Синиз, Майкелти Уильямсон",Роберт Земекис,,,18+,https://www.kinopoisk.ru/film/448/
361,Бойцовский клуб,Fight Club,1999,8.7,8.8,https://kinopoiskapiunofficial.tech/images/posters/kp/361.jpg,"Сотрудник страховой компании страдает хронической бессонницей и отчаянно пытается вырваться из мучительно скучной жизни. Однажды в очередной командировке он встречает некоего Тайлера Дёрдена — харизматического торговца мылом с извращенной философией. Тайлер уверен, что самосовершенствование — удел слабых, а единственное, ради чего стоит жить, — саморазрушение.

Проходит немного времени, и вот уже новые друзья лупят друг друга почем зря на стоянке перед баром, и очищающий мордобой доставляет им высшее блаженство. Приобщая других мужчин к простым радостям физической жестокости, они основывают тайный Бойцовский клуб, который начинает пользоваться невероятной популярностью.",139 мин,"США, Германия","триллер, драма, криминал","Эдвард Нортон, Брэд Питт, Хелена Бонем Картер, Мит Лоаф, Зэк Гренье",Дэвид Финчер,,,18+,https://www.kinopoisk.ru/film/361/
370,Унесённые призраками,Sen to Chihiro no kamikakushi,2001,8.5,8.6,https://kinopoiskapiunofficial.tech/images/posters/kp/370.jpg,"Тихиро с мамой и папой переезжает в новый дом. Заблудившись по дороге, они оказываются в странном пустынном городе, где их ждет великолепный пир. Родители с жадностью набрасываются на еду и к ужасу девочки превращаются в свиней, став пленниками злой колдуньи Юбабы. Теперь, оказавшись одна среди волшебных существ и загадочных видений, Тихиро должна придумать, как избавить своих родителей от чар коварной старухи.",124 мин,Япония,"приключения, фэнтези, мультфильм, семейный, аниме","Руми Хиираги, Мию Ирино, Мари Нацуки, Такаси Наито, Ясуко Савагути",Хаяо Миядзаки,,,12+,https://www.kinopoisk.ru/film/370/
328,Властелин колец: Братство кольца,The Lord of the Rings: The Fellowship of the Ring,2001,8.6,8.9,https://kinopoiskapiunofficial.tech/images/posters/kp/328.jpg,"Сказания о Средиземье — это хроника Великой войны за Кольцо, длившейся не одну тысячу лет. Тот, кто владел Кольцом, получал неограниченную власть, но был обязан служить злу. 
Тихая деревня, где живут хоббиты. Придя на 111-й день рождения к своему старому другу Бильбо Бэггинсу, волшебник Гэндальф начинает вести разговор о кольце, которое Бильбо нашел много лет назад. Это кольцо принадлежало когда-то темному властителю Средиземья Саурону, и оно дает большую власть своему обладателю. Теперь Саурон хочет вернуть себе власть над Средиземьем. Бильбо отдает Кольцо племяннику Фродо, чтобы тот отнёс его к Роковой Горе и уничтожил.",178 мин,"США, Новая Зеландия","драма, приключения, боевик, фэнтези","Элайджа Вуд, Иэн Маккеллен, Шон Эстин, Вигго Мортенсен, Билли Бойд",Питер Джексон,,,12+,https://www.kinopoisk.ru/film/328/
